SystemCodeNumber,Capacity,Occupancy,LastUpdated,Date,Hour,Day,Month,DayOfWeek,IsWeekend,AvailableSpaces,OccupancyRate,Previous_Availability,Lag_2_Availability,Lag_3_Availability,Rolling_Average_Availability
BHMNCPPLS01,450,84,2016-10-04 09:25:48,2016-10-04,9,4,10,Tuesday,0,366,0.18666666666666668,365.0,368.0,374.0,369.0
BHMBCCMKT01,577,107,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,470,0.1854419410745234,497.0,513.0,516.0,508.6666666666667
Others-CCCPS8,1322,590,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,732,0.4462934947049924,804.0,844.0,877.0,841.6666666666666
Others-CCCPS202,2937,1036,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,1901,0.35274089206673476,2089.0,2272.0,2390.0,2250.3333333333335
Others-CCCPS135a,3883,2502,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,1381,0.6443471542621684,1876.0,2416.0,2802.0,2364.6666666666665
Others-CCCPS133,4675,1236,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,3439,0.26438502673796793,3610.0,3764.0,3871.0,3748.3333333333335
Others-CCCPS119a,2803,420,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,2383,0.14983945772386728,2480.0,2565.0,2608.0,2551.0
BHMBCCPST01,317,116,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,201,0.3659305993690852,208.0,219.0,224.0,217.0
Others-CCCPS105a,2009,1004,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,1005,0.4997511199601792,1145.0,1229.0,1300.0,1224.6666666666667
NIA South,788,190,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,598,0.24111675126903553,635.0,692.0,723.0,683.3333333333334
NIA Car Parks,1268,213,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,1055,0.16798107255520506,1102.0,1161.0,1194.0,1152.3333333333333
Bull Ring,3053,436,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,2617,0.14281035047494267,2697.0,2793.0,2838.0,2776.0
Broad Street,690,530,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,160,0.7681159420289855,275.0,421.0,512.0,402.6666666666667
BHMNCPRAN01,600,473,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,127,0.7883333333333333,226.0,308.0,390.0,308.0
BHMNCPNST01,485,302,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,183,0.622680412371134,207.0,218.0,236.0,220.33333333333334
BHMNCPNHS01,500,405,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,95,0.81,198.0,339.0,420.0,319.0
BHMBCCSNH01,863,503,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,360,0.5828505214368482,490.0,610.0,686.0,595.3333333333334
BHMNCPLDH01,720,569,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,151,0.7902777777777777,203.0,274.0,343.0,273.3333333333333
BHMNCPHST01,1200,552,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,648,0.46,759.0,885.0,963.0,869.0
BHMMBMMBX01,687,414,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,273,0.6026200873362445,341.0,385.0,423.0,383.0
BHMEURBRD02,220,179,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,41,0.8136363636363636,74.0,125.0,159.0,119.33333333333333
BHMEURBRD01,470,351,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,119,0.7468085106382979,201.0,296.0,353.0,283.3333333333333
BHMBRCBRG03,849,114,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,735,0.13427561837455831,751.0,772.0,783.0,768.6666666666666
BHMBRCBRG02,1194,177,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,1017,0.14824120603015076,1052.0,1099.0,1115.0,1088.6666666666667
BHMBRCBRG01,1010,145,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,865,0.14356435643564355,894.0,922.0,940.0,918.6666666666666
Others-CCCPS98,3103,932,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,2171,0.30035449564937156,2311.0,2425.0,2515.0,2417.0
Shopping,1920,1121,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,799,0.5838541666666667,962.0,1159.0,1306.0,1142.3333333333333
BHMBCCTHL01,387,204,2016-10-04 09:32:46,2016-10-04,9,4,10,Tuesday,0,183,0.5271317829457365,232.0,258.0,267.0,252.33333333333334
BHMBRCBRG02,1194,231,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,963,0.1934673366834171,1017.0,1052.0,1099.0,1056.0
Others-CCCPS133,4675,1503,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,3172,0.32149732620320853,3439.0,3610.0,3764.0,3604.3333333333335
Others-CCCPS8,1322,657,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,665,0.4969742813918306,732.0,804.0,844.0,793.3333333333334
BHMBCCMKT01,577,150,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,427,0.25996533795493937,470.0,497.0,513.0,493.3333333333333
BHMBRCBRG01,1010,215,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,795,0.21287128712871287,865.0,894.0,922.0,893.6666666666666
NIA Car Parks,1268,237,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,1031,0.18690851735015773,1055.0,1102.0,1161.0,1106.0
BHMNCPNHS01,500,442,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,58,0.884,95.0,198.0,339.0,210.66666666666666
BHMEURBRD02,220,203,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,17,0.9227272727272727,41.0,74.0,125.0,80.0
Bull Ring,3053,597,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,2456,0.19554536521454308,2617.0,2697.0,2793.0,2702.3333333333335
BHMBCCTHL01,387,236,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,151,0.6098191214470284,183.0,232.0,258.0,224.33333333333334
BHMEURBRD01,470,397,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,73,0.8446808510638298,119.0,201.0,296.0,205.33333333333334
BHMBCCSNH01,863,590,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,273,0.6836616454229433,360.0,490.0,610.0,486.6666666666667
BHMNCPNST01,485,327,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,158,0.6742268041237114,183.0,207.0,218.0,202.66666666666666
Broad Street,690,600,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,90,0.8695652173913043,160.0,275.0,421.0,285.3333333333333
NIA South,788,206,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,582,0.2614213197969543,598.0,635.0,692.0,641.6666666666666
Others-CCCPS119a,2803,476,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,2327,0.1698180520870496,2383.0,2480.0,2565.0,2476.0
Others-CCCPS135a,3883,2802,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,1081,0.7216070048931239,1381.0,1876.0,2416.0,1891.0
BHMNCPLDH01,720,616,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,104,0.8555555555555555,151.0,203.0,274.0,209.33333333333334
BHMNCPRAN01,600,516,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,84,0.86,127.0,226.0,308.0,220.33333333333334
BHMNCPHST01,1200,638,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,562,0.5316666666666666,648.0,759.0,885.0,764.0
